Data;Ora;Fuso orario;Descrizione;Valuta;Lordo ;Tariffa ;Netto;Saldo;Codice transazione;Indirizzo email mittente;Nome;Nome banca;Conto bancario;Importo per spedizione e imballaggio;IVA;N. fattura pro-forma;Codice transazione di riferimento
23/01/2023;12:29:48;Europe/Berlin;Pagamento preautorizzato utenza;EUR;-11,99;0;-11,99;-11,99;5K270812FY483981N;EUorders@fastspring.com;Fastspring BV;;;0;0;;0CD31542DX888262Y
23/01/2023;12:29:48;Europe/Berlin;Bonifico bancario sul conto PayPal;EUR;11,99;0;11,99;0;3FG94179MW076963P;;;CheBanca  S.p.A.;1196;0;0;;5K270812FY483981N
24/01/2023;13:24:46;Europe/Berlin;Pagamento preautorizzato utenza;EUR;-3,09;0;-3,09;-3,09;7MX03227TG125741Y;PayPal-GPIL-PL-EUR@google.com;Google Payment Ireland Limited;;;0;0;816437193277918442;B-5RK1221886007091D
24/01/2023;13:24:46;Europe/Berlin;Bonifico bancario sul conto PayPal;EUR;3,09;0;3,09;0;98L56374P81186246;;;CheBanca  S.p.A.;1196;0;0;816437193277918442;7MX03227TG125741Y
24/01/2023;19:25:41;Europe/Berlin;Pagamento da cellulare;EUR;-60;0;-60;-60;2JL42533AH709261H;matteo.bonanno91@gmail.com;IANUA di Bonanno Matteo;;;0;0;;
24/01/2023;19:25:41;Europe/Berlin;Bonifico bancario sul conto PayPal;EUR;60;0;60;0;9EP854966Y914405X;;;CheBanca  S.p.A.;1196;0;0;;2JL42533AH709261H
02/02/2023;19:51:05;Europe/Berlin;Bonifico bancario sul conto PayPal;EUR;3,87;0;3,87;3,87;3846943888414871W;;;CheBanca  S.p.A.;1196;0;0;P-41859972;5CW20472P5914102K
02/02/2023;19:51:05;Europe/Berlin;Conversione di valuta generica;EUR;-3,87;0;-3,87;0;997131086W751064M;;;;;0;0;P-41859972;5CW20472P5914102K
03/02/2023;17:44:29;Europe/Berlin;Pagamento Express Checkout;EUR;-81,85;0;-81,85;-81,85;8E769370P08355219;norma.rossetti@mysecretcase.com;MYSECRETCASE S.R.L;;;0;0;c31967772901559.1;
03/02/2023;17:44:29;Europe/Berlin;Bonifico bancario sul conto PayPal;EUR;81,85;0;81,85;0;7BL38986YJ676954S;;;CheBanca  S.p.A.;1196;0;0;c31967772901559.1;8E769370P08355219
06/02/2023;17:26:40;Europe/Berlin;Pagamento Express Checkout;EUR;-29,67;0;-29,67;-29,67;0VK03503D26270424;info@bestbuying.it;BESTBUYING SRL;;;4,02;0;VPB00847301;
06/02/2023;17:26:40;Europe/Berlin;Bonifico bancario sul conto PayPal;EUR;29,67;0;29,67;0;3XG58874GN621910E;;;CheBanca  S.p.A.;1196;4,02;0;VPB00847301;0VK03503D26270424
12/02/2023;10:06:24;Europe/Berlin;Pagamento preautorizzato utenza;EUR;-11,99;0;-11,99;-11,99;4UD28463G9748752U;PayPal-GPIL-PL-EUR@google.com;Google Payment Ireland Limited;;;0;0;795708626936036639;B-5RK1221886007091D
12/02/2023;10:06:24;Europe/Berlin;Bonifico bancario sul conto PayPal;EUR;11,99;0;11,99;0;9LB85625VN563642N;;;CheBanca  S.p.A.;1196;0;0;795708626936036639;4UD28463G9748752U
19/02/2023;18:52:02;Europe/Berlin;Pagamento preautorizzato utenza;EUR;-69,99;0;-69,99;-69,99;71N4445092103301J;steamgameseea@valvesoftware.com;www.steampowered.com;;;0;0;3524666526238496392;B-37U45163A2023822U
19/02/2023;18:52:02;Europe/Berlin;Bonifico bancario sul conto PayPal;EUR;69,99;0;69,99;0;7JN09759C4601693X;;;CheBanca  S.p.A.;1196;0;0;3524666526238496392;71N4445092103301J
20/02/2023;13:42:18;Europe/Berlin;Pagamento preautorizzato utenza;EUR;-10;0;-10;-10;2CH89278LX946322J;digitalshop@mail.wind.it;Very Mobile;;;0;0;177257831;B-4JL38423N6974482J
20/02/2023;13:42:18;Europe/Berlin;Bonifico bancario sul conto PayPal;EUR;10;0;10;0;67V09946604879947;;;CheBanca  S.p.A.;1196;0;0;177257831;2CH89278LX946322J
21/02/2023;13:05:00;Europe/Berlin;Pagamento Express Checkout;EUR;-70,65;0;-70,65;-70,65;3DU399755V3118509;Paypal@trenitalia.it;Trenitalia SPA;;;0;0;96ba31d2-c1f0-44de-8f51-7d94c98d9472;4UD780502K4248447
21/02/2023;13:05:00;Europe/Berlin;Bonifico bancario sul conto PayPal;EUR;70,65;0;70,65;0;8T8663472T471705K;;;CheBanca  S.p.A.;1196;0;0;96ba31d2-c1f0-44de-8f51-7d94c98d9472;3DU399755V3118509
24/02/2023;13:24:46;Europe/Berlin;Pagamento preautorizzato utenza;EUR;-3,09;0;-3,09;-3,09;3SV6611543418315P;PayPal-GPIL-PL-EUR@google.com;Google Payment Ireland Limited;;;0;0;866333783836613048;B-5RK1221886007091D
24/02/2023;13:24:46;Europe/Berlin;Bonifico bancario sul conto PayPal;EUR;3,09;0;3,09;0;83P68506AS259193T;;;CheBanca  S.p.A.;1196;0;0;866333783836613048;3SV6611543418315P
25/02/2023;16:37:59;Europe/Berlin;Bonifico bancario sul conto PayPal;EUR;30,4;0;30,4;30,4;6VB92908WP381630T;;;CheBanca  S.p.A.;1196;0;0;;42230062W2718413E
25/02/2023;16:37:59;Europe/Berlin;Conversione di valuta generica;EUR;-30,4;0;-30,4;0;50J1913072450660T;;;;;0;0;;42230062W2718413E
26/02/2023;15:45:19;Europe/Berlin;Pagamento da cellulare;EUR;-12;0;-12;-12;22F00338G5348103B;matteo.bonanno91@gmail.com;IANUA di Bonanno Matteo;;;0;0;;
26/02/2023;15:45:19;Europe/Berlin;Bonifico bancario sul conto PayPal;EUR;12;0;12;0;0RS703601W369390J;;;CheBanca  S.p.A.;1196;0;0;;22F00338G5348103B
27/02/2023;17:01:09;Europe/Berlin;Pagamento Express Checkout;EUR;-70,65;0;-70,65;-70,65;0BR05809R9210673T;Paypal@trenitalia.it;Trenitalia SPA;;;0;0;279fca4f-4af6-45bb-8f45-72a433415ee2;26762712SM313020K
27/02/2023;17:01:09;Europe/Berlin;Bonifico bancario sul conto PayPal;EUR;70,65;0;70,65;0;2E280085W2885302J;;;CheBanca  S.p.A.;1196;0;0;279fca4f-4af6-45bb-8f45-72a433415ee2;0BR05809R9210673T
02/03/2023;19:01:18;Europe/Berlin;Bonifico bancario sul conto PayPal;EUR;3,98;0;3,98;3,98;9UJ32511BC8157338;;;CheBanca  S.p.A.;1196;0;0;P-43120797;7U5551603V711494M
02/03/2023;19:01:18;Europe/Berlin;Conversione di valuta generica;EUR;-3,98;0;-3,98;0;6P237662M13989618;;;;;0;0;P-43120797;7U5551603V711494M
12/03/2023;10:06:21;Europe/Berlin;Pagamento preautorizzato utenza;EUR;-11,99;0;-11,99;-11,99;1W1310674U574105N;PayPal-GCLGPIL-PL-EUR@google.com;Google Payment Ireland Ltd.;;;0;0;898658640328195184;B-5RK1221886007091D
12/03/2023;10:06:21;Europe/Berlin;Bonifico bancario sul conto PayPal;EUR;11,99;0;11,99;0;6MF33461JF7392101;;;CheBanca  S.p.A.;1196;0;0;898658640328195184;1W1310674U574105N
21/03/2023;21:13:32;Europe/Berlin;Pagamento da cellulare;EUR;-15;0;-15;-15;0PN83525A55590939;giuliasantamaria89@gmail.com;Giulia Santamaria;;;0;0;;
21/03/2023;21:13:32;Europe/Berlin;Bonifico bancario sul conto PayPal;EUR;15;0;15;0;3UA175494X900804P;;;CheBanca  S.p.A.;1196;0;0;;0PN83525A55590939
23/03/2023;17:31:44;Europe/Berlin;Pagamento da cellulare;EUR;-15;0;-15;-15;6G565912MY039350H;giuliasantamaria89@gmail.com;Giulia Santamaria;;;0;0;;
23/03/2023;17:31:44;Europe/Berlin;Bonifico bancario sul conto PayPal;EUR;15;0;15;0;9LC49944LB564994F;;;CheBanca  S.p.A.;1196;0;0;;6G565912MY039350H
24/03/2023;12:57:19;Europe/Berlin;Pagamento Express Checkout;EUR;-32,56;0;-32,56;-32,56;0R192923EG693425W;info@bestbuying.it;BESTBUYING SRL;;;4,02;0;VPB00870908;
24/03/2023;12:57:19;Europe/Berlin;Bonifico bancario sul conto PayPal;EUR;32,56;0;32,56;0;2PA62139078052914;;;CheBanca  S.p.A.;1196;4,02;0;VPB00870908;0R192923EG693425W
24/03/2023;13:24:46;Europe/Berlin;Pagamento preautorizzato utenza;EUR;-3,09;0;-3,09;-3,09;8VU15892G7847954R;PayPal-GPIL-PL-EUR@google.com;Google Payment Ireland Limited;;;0;0;041751844536269434;B-5RK1221886007091D
24/03/2023;13:24:46;Europe/Berlin;Bonifico bancario sul conto PayPal;EUR;3,09;0;3,09;0;9EL27641MN2745429;;;CheBanca  S.p.A.;1196;0;0;041751844536269434;8VU15892G7847954R
31/03/2023;02:04:08;Europe/Berlin;Pagamento Express Checkout;EUR;-20,5;0;-20,5;-20,5;29Y76591TR649272X;finance.paypal@justeat.it;Just Eat Italy Srl;;;1;0;137671205;78L351217G930083U
31/03/2023;02:04:08;Europe/Berlin;Bonifico bancario sul conto PayPal;EUR;20,5;0;20,5;0;512190467T5443412;;;CheBanca  S.p.A.;1196;1;0;137671205;29Y76591TR649272X
02/04/2023;18:37:11;Europe/Berlin;Bonifico bancario sul conto PayPal;EUR;3,88;0;3,88;3,88;5C940244J93556232;;;CheBanca  S.p.A.;1196;0;0;P-43827047;2H187637MM551315N
02/04/2023;18:37:11;Europe/Berlin;Conversione di valuta generica;EUR;-3,88;0;-3,88;0;8EX14487VS994534P;;;;;0;0;P-43827047;2H187637MM551315N
08/04/2023;17:32:25;Europe/Berlin;Pagamento da cellulare;EUR;-25;0;-25;-25;2AL9826210959734J;matteo.bonanno91@gmail.com;IANUA di Bonanno Matteo;;;0;0;;
08/04/2023;17:32:25;Europe/Berlin;Bonifico bancario sul conto PayPal;EUR;25;0;25;0;1DP33211CD3003354;;;CheBanca  S.p.A.;1196;0;0;;2AL9826210959734J
12/04/2023;11:06:19;Europe/Berlin;Pagamento preautorizzato utenza;EUR;-11,99;0;-11,99;-11,99;22W63136M38421330;PayPal-GPIL-PL-EUR@google.com;Google Payment Ireland Limited;;;0;0;477703907581793239;B-5RK1221886007091D
12/04/2023;11:06:19;Europe/Berlin;Bonifico bancario sul conto PayPal;EUR;11,99;0;11,99;0;8L948506SG828852J;;;CheBanca  S.p.A.;1196;0;0;477703907581793239;22W63136M38421330
17/04/2023;15:13:39;Europe/Berlin;Pagamento preautorizzato utenza;EUR;-35,99;0;-35,99;-35,99;0XV70942R8583602N;finance@asanarebel.com;Asana Rebel GmbH;;;0;0;2287486;B-04R04332ST9356918
17/04/2023;15:13:39;Europe/Berlin;Bonifico bancario sul conto PayPal;EUR;35,99;0;35,99;0;1H908704YH642352T;;;CheBanca  S.p.A.;1196;0;0;2287486;0XV70942R8583602N
20/04/2023;12:42:52;Europe/Berlin;Pagamento preautorizzato utenza;EUR;-6,99;0;-6,99;-6,99;4CG40056R6583601A;digitalshop@mail.wind.it;Very Mobile;;;0;0;20230420104251304-905-3428;B-4JL38423N6974482J
20/04/2023;12:42:52;Europe/Berlin;Bonifico bancario sul conto PayPal;EUR;6,99;0;6,99;0;62690260MD012445V;;;CheBanca  S.p.A.;1196;0;0;20230420104251304-905-3428;4CG40056R6583601A
24/04/2023;14:24:46;Europe/Berlin;Pagamento preautorizzato utenza;EUR;-3,09;0;-3,09;-3,09;9A815084W7795825E;PayPal-GPIL-PL-EUR@google.com;Google Payment Ireland Limited;;;0;0;092940323566446634;B-5RK1221886007091D
24/04/2023;14:24:46;Europe/Berlin;Bonifico bancario sul conto PayPal;EUR;3,09;0;3,09;0;6HJ39120RT645933W;;;CheBanca  S.p.A.;1196;0;0;092940323566446634;9A815084W7795825E
26/04/2023;12:45:29;Europe/Berlin;Pagamento da cellulare;EUR;-16;0;-16;-16;0KK90248R4491113X;daniele.constantinescu@gmail.com;Daniele Constantinescu;;;0;0;;
26/04/2023;12:45:29;Europe/Berlin;Bonifico bancario sul conto PayPal;EUR;16;0;16;0;3E637369A53377925;;;CheBanca  S.p.A.;1196;0;0;;0KK90248R4491113X
29/04/2023;15:24:39;Europe/Berlin;Pagamento preautorizzato utenza;EUR;-69,99;0;-69,99;-69,99;0SB73511JX203432F;siee.psn.paypal.eu@sony.com;Sony Interactive Entertainment Network Europe Limited;;;0;0;408241452833;B-8K538768E8670621B
29/04/2023;15:24:39;Europe/Berlin;Bonifico bancario sul conto PayPal;EUR;69,99;0;69,99;0;9U798679WB787535W;;;CheBanca  S.p.A.;1196;0;0;408241452833;0SB73511JX203432F
02/05/2023;15:56:14;Europe/Berlin;Pagamento Express Checkout;EUR;-33,8;0;-33,8;-33,8;22U42955X9360891X;info@bestbuying.it;BESTBUYING SRL;;;4,02;0;VPB00890403;
02/05/2023;15:56:14;Europe/Berlin;Bonifico bancario sul conto PayPal;EUR;33,8;0;33,8;0;59H29053CL722652M;;;CheBanca  S.p.A.;1196;4,02;0;VPB00890403;22U42955X9360891X
02/05/2023;18:43:14;Europe/Berlin;Bonifico bancario sul conto PayPal;EUR;3,83;0;3,83;3,83;9BS170084T057323E;;;CheBanca  S.p.A.;1196;0;0;P-44599815;0G2646052R6025828
02/05/2023;18:43:14;Europe/Berlin;Conversione di valuta generica;EUR;-3,83;0;-3,83;0;1RM47109PU4389240;;;;;0;0;P-44599815;0G2646052R6025828
07/05/2023;20:58:16;Europe/Berlin;Pagamento da cellulare;EUR;15;0;15;15;3RB41915GM421633N;pier.n4@gmail.com;Pierfrancesco Sozzo;;;0;0;;
12/05/2023;11:06:20;Europe/Berlin;Pagamento preautorizzato utenza;EUR;-11,99;0;-11,99;3,01;97A94509VP608330M;PayPal-GPIL-PL-EUR@google.com;Google Payment Ireland Limited;;;0;0;192075823901617013;B-5RK1221886007091D
14/05/2023;17:32:50;Europe/Berlin;Pagamento preautorizzato utenza;EUR;-11,89;0;-11,89;-8,88;0EA746198V281953W;PayPal-GPIL-PL-EUR@google.com;Google Payment Ireland Limited;;;0;0;880275883977795296;B-5RK1221886007091D
14/05/2023;17:32:50;Europe/Berlin;Bonifico bancario sul conto PayPal;EUR;8,88;0;8,88;0;4TT96271TG8889617;;;CheBanca  S.p.A.;1196;0;0;880275883977795296;0EA746198V281953W
16/05/2023;23:20:43;Europe/Berlin;Pagamento Express Checkout;EUR;-32,89;0;-32,89;-32,89;66C997784D6199442;norma.rossetti@mysecretcase.com;MYSECRETCASE S.R.L;;;5,9;0;c41447005782358.1;
16/05/2023;23:20:43;Europe/Berlin;Bonifico bancario sul conto PayPal;EUR;32,89;0;32,89;0;0DN684614B4040442;;;CheBanca  S.p.A.;1196;5,9;0;c41447005782358.1;66C997784D6199442
21/05/2023;00:03:45;Europe/Berlin;Pagamento Express Checkout;EUR;-156,4;0;-156,4;-156,4;43N142817K560021F;payments@kiwi.com;Kiwi.com s.r.o.;;;0;0;388010733;
21/05/2023;00:03:45;Europe/Berlin;Bonifico bancario sul conto PayPal;EUR;156,4;0;156,4;0;6AT410656N913525A;;;CheBanca  S.p.A.;1196;0;0;388010733;43N142817K560021F
21/05/2023;13:59:56;Europe/Berlin;Pagamento preautorizzato utenza;EUR;-20;0;-20;-20;6W38687709007070D;digitalshop@mail.wind.it;Very Mobile;;;0;0;182228023;B-4JL38423N6974482J
21/05/2023;13:59:56;Europe/Berlin;Bonifico bancario sul conto PayPal;EUR;20;0;20;0;69T96829UE650633S;;;CheBanca  S.p.A.;1196;0;0;182228023;6W38687709007070D
24/05/2023;14:24:45;Europe/Berlin;Pagamento preautorizzato utenza;EUR;-3,09;0;-3,09;-3,09;6XA929684U2992704;PayPal-GPIL-PL-EUR@google.com;Google Payment Ireland Limited;;;0;0;076337535979697809;B-5RK1221886007091D
24/05/2023;14:24:45;Europe/Berlin;Bonifico bancario sul conto PayPal;EUR;3,09;0;3,09;0;976870921P313362P;;;CheBanca  S.p.A.;1196;0;0;076337535979697809;6XA929684U2992704
28/05/2023;18:23:00;Europe/Berlin;Pagamento Express Checkout;EUR;-209;0;-209;-209;4W7443535S199454P;payments@kiwi.com;Kiwi.com s.r.o.;;;0;0;391429258;
28/05/2023;18:23:00;Europe/Berlin;Bonifico bancario sul conto PayPal;EUR;209;0;209;0;6PP07332DT524911K;;;CheBanca  S.p.A.;1196;0;0;391429258;4W7443535S199454P
30/05/2023;22:23:51;Europe/Berlin;Pagamento preautorizzato utenza;EUR;-8,99;0;-8,99;-8,99;9JB05163F82947233;CORP.DL-DSSIT@disney.com;DisneyPlus;;;0;0;urn:dss:disney:orders:067c8bb3-6dcc-499b-8cb0-234a760cd2ad;B-6TX91726T55549941
30/05/2023;22:23:51;Europe/Berlin;Bonifico bancario sul conto PayPal;EUR;8,99;0;8,99;0;67S521420B758410D;;;CheBanca  S.p.A.;1196;0;0;urn:dss:disney:orders:067c8bb3-6dcc-499b-8cb0-234a760cd2ad;9JB05163F82947233
02/06/2023;18:55:30;Europe/Berlin;Bonifico bancario sul conto PayPal;EUR;3,94;0;3,94;3,94;1VH823747P866373L;;;CheBanca  S.p.A.;1196;0;0;P-45524928;6KF20048812998138
02/06/2023;18:55:30;Europe/Berlin;Conversione di valuta generica;EUR;-3,94;0;-3,94;0;7UL11982KM3276124;;;;;0;0;P-45524928;6KF20048812998138
09/06/2023;13:00:31;Europe/Berlin;Pagamento Express Checkout;EUR;-30,97;0;-30,97;-30,97;52A177132S606201L;info@bestbuying.it;BESTBUYING SRL;;;4,02;0;VPB00908410;
09/06/2023;13:00:31;Europe/Berlin;Bonifico bancario sul conto PayPal;EUR;30,97;0;30,97;0;4XD096368J0398437;;;CheBanca  S.p.A.;1196;4,02;0;VPB00908410;52A177132S606201L
11/06/2023;16:33:09;Europe/Berlin;Pagamento da cellulare;EUR;-50;0;-50;-50;2X968899CM0923200;valentinacortese_96@hotmail.it;Valentina Cortese;;;0;0;;
11/06/2023;16:33:09;Europe/Berlin;Bonifico bancario sul conto PayPal;EUR;50;0;50;0;7F519472YU609561N;;;CheBanca  S.p.A.;1196;0;0;;2X968899CM0923200
12/06/2023;11:06:21;Europe/Berlin;Pagamento preautorizzato utenza;EUR;-11,99;0;-11,99;-11,99;2BC7702780831554S;PayPal-GPIL-PL-EUR@google.com;Google Payment Ireland Limited;;;0;0;561597201271908891;B-5RK1221886007091D
12/06/2023;11:06:21;Europe/Berlin;Bonifico bancario sul conto PayPal;EUR;11,99;0;11,99;0;61U9319969905584C;;;CheBanca  S.p.A.;1196;0;0;561597201271908891;2BC7702780831554S
13/06/2023;20:38:54;Europe/Berlin;Pagamento preautorizzato utenza;EUR;-37,99;0;-37,99;-37,99;9MP83895CK5821022;steamgameseea@valvesoftware.com;www.steampowered.com;;;0;0;3550572177001864412;B-37U45163A2023822U
13/06/2023;20:38:54;Europe/Berlin;Bonifico bancario sul conto PayPal;EUR;37,99;0;37,99;0;1S72532474852725E;;;CheBanca  S.p.A.;1196;0;0;3550572177001864412;9MP83895CK5821022
14/06/2023;17:31:16;Europe/Berlin;Pagamento preautorizzato utenza;EUR;-16,99;0;-16,99;-16,99;42W24064GC2741532;PayPal-GPIL-PL-EUR@google.com;Google Payment Ireland Limited;;;0;0;684002074304614775;B-5RK1221886007091D
14/06/2023;17:31:16;Europe/Berlin;Bonifico bancario sul conto PayPal;EUR;16,99;0;16,99;0;478161517N769293B;;;CheBanca  S.p.A.;1196;0;0;684002074304614775;42W24064GC2741532
20/06/2023;20:32:30;Europe/Berlin;Pagamento da cellulare;EUR;-31,1;0;-31,1;-31,1;97S208250T2661036;zibo.camito@gmail.com;Simone Camito;;;0;0;;
20/06/2023;20:32:30;Europe/Berlin;Bonifico bancario sul conto PayPal;EUR;31,1;0;31,1;0;0K575785L8235470E;;;CheBanca  S.p.A.;1196;0;0;;97S208250T2661036
24/06/2023;14:24:45;Europe/Berlin;Pagamento preautorizzato utenza;EUR;-3,09;0;-3,09;-3,09;3K457798AC417844K;PayPal-GCLGPIL-PL-EUR@google.com;Google Payment Ireland Ltd.;;;0;0;271301979354319161;B-5RK1221886007091D
24/06/2023;14:24:45;Europe/Berlin;Bonifico bancario sul conto PayPal;EUR;3,09;0;3,09;0;4GK54932FE6266936;;;CheBanca  S.p.A.;1196;0;0;271301979354319161;3K457798AC417844K
30/06/2023;22:24:19;Europe/Berlin;Pagamento preautorizzato utenza;EUR;-8,99;0;-8,99;-8,99;2GU473193E1769103;CORP.DL-DSSIT@disney.com;DisneyPlus;;;0;0;176f5318e6c0ccf507fa9967e93a3572;B-6TX91726T55549941
30/06/2023;22:24:19;Europe/Berlin;Bonifico bancario sul conto PayPal;EUR;8,99;0;8,99;0;35H46640XV047610G;;;CheBanca  S.p.A.;1196;0;0;176f5318e6c0ccf507fa9967e93a3572;2GU473193E1769103
02/07/2023;19:04:17;Europe/Berlin;Bonifico bancario sul conto PayPal;EUR;3,88;0;3,88;3,88;1YX18790AG0667945;;;CheBanca  S.p.A.;1196;0;0;P-46405142;7TA154473K505104T
02/07/2023;19:04:17;Europe/Berlin;Conversione di valuta generica;EUR;-3,88;0;-3,88;0;39B17038B2678870U;;;;;0;0;P-46405142;7TA154473K505104T
08/07/2023;11:01:22;Europe/Berlin;Pagamento Express Checkout;EUR;-75,7;0;-75,7;-75,7;5R283338AR1750426;EtsyPaymentsIE@etsy.com;PAYPAL ETSY IRELAND;;;5,73;0;;5K071362PU215060X
08/07/2023;11:01:22;Europe/Berlin;Bonifico bancario sul conto PayPal;EUR;75,7;0;75,7;0;0F7311447Y295112H;;;CheBanca  S.p.A.;1196;5,73;0;;5R283338AR1750426
12/07/2023;11:06:20;Europe/Berlin;Pagamento preautorizzato utenza;EUR;-11,99;0;-11,99;-11,99;8VT560313S134491B;PayPal-GCLGPIL-PL-EUR@google.com;Google Payment Ireland Ltd.;;;0;0;024657891647333103;B-5RK1221886007091D
12/07/2023;11:06:20;Europe/Berlin;Bonifico bancario sul conto PayPal;EUR;11,99;0;11,99;0;2KV39702HB304900F;;;CheBanca  S.p.A.;1196;0;0;024657891647333103;8VT560313S134491B
14/07/2023;17:31:18;Europe/Berlin;Pagamento preautorizzato utenza;EUR;-16,99;0;-16,99;-16,99;4604737933069362L;PayPal-GPIL-PL-EUR@google.com;Google Payment Ireland Limited;;;0;0;731575555521120384;B-5RK1221886007091D
14/07/2023;17:31:18;Europe/Berlin;Bonifico bancario sul conto PayPal;EUR;16,99;0;16,99;0;6BU16302KN406981M;;;CheBanca  S.p.A.;1196;0;0;731575555521120384;4604737933069362L
18/07/2023;09:21:30;Europe/Berlin;Pagamento da cellulare;EUR;-10;0;-10;-10;3CB12982DV732174W;valentinacortese_96@hotmail.it;Valentina Cortese;;;0;0;;
18/07/2023;09:21:30;Europe/Berlin;Bonifico bancario sul conto PayPal;EUR;10;0;10;0;11265423D0545894E;;;CheBanca  S.p.A.;1196;0;0;;3CB12982DV732174W
20/07/2023;10:48:18;Europe/Berlin;Pagamento preautorizzato utenza;EUR;-27,99;0;-27,99;-27,99;2VS610232B8370749;PayPal-GPIL-PL-EUR@google.com;Google Payment Ireland Limited;;;0;0;980253325318386813;B-5RK1221886007091D
20/07/2023;10:48:18;Europe/Berlin;Bonifico bancario sul conto PayPal;EUR;27,99;0;27,99;0;41C75779S3488354K;;;CheBanca  S.p.A.;1196;0;0;980253325318386813;2VS610232B8370749
20/07/2023;12:37:27;Europe/Berlin;Pagamento preautorizzato utenza;EUR;-6,99;0;-6,99;-6,99;6FW621677Y224144T;digitalshop@mail.wind.it;Very Mobile;;;0;0;20230720103725945-905-9948;B-4JL38423N6974482J
20/07/2023;12:37:27;Europe/Berlin;Bonifico bancario sul conto PayPal;EUR;6,99;0;6,99;0;8NB73264YC410425D;;;CheBanca  S.p.A.;1196;0;0;20230720103725945-905-9948;6FW621677Y224144T
20/07/2023;21:43:08;Europe/Berlin;Pagamento Express Checkout;EUR;-27,95;0;-27,95;-27,95;0LP639968H695174H;chaimaejdid2@gmail.com;Smilly LTD;;;0;0;rgugNimTf5HCZ8ZFezeVuoIeE;
20/07/2023;21:43:08;Europe/Berlin;Bonifico bancario sul conto PayPal;EUR;27,95;0;27,95;0;1GY361771B870653W;;;CheBanca  S.p.A.;1196;0;0;rgugNimTf5HCZ8ZFezeVuoIeE;0LP639968H695174H
